ID,RT1,RMT11,N19461,MWA2,MWA1,MW1,MRG3,MR3,M9730,M6946,M6945,M5294,M3183,M3179,M3174,M24905,M24207,M24203,M22785,M22784,M22782,M11666,M11665,M10973,M03541,JM99,JM97,JM96,JM95,JM93,JM92,JM89,JM88,JM86,JM47,JM4432,JM3944,JM37,JM2935,JM24,JM21536,JM21530,JM21357,JM21271,JM21269,JM21268,JM210,JM20761,JM200,JM19758,JM19756,JM19751,JM19750,JM19749,JM19746,JM1913,JM1912,JM187,JM18590,JM170,JM168,JM167,JM166,JM165,JM163,JM1601,JM1598,JM1597,JM1596,JM158,JM157,JM156,JM155,JM15445,JM154,JM152,JM151,JM15026,JM15025,JM149,JM146,JM145,JM14452,JM14448,JM14417,JM14415,JM1420,JM134,JM11445,JM108,JM100,J7727,J5030,J3810,J3716,J20265,J17410,J17406,J17403,J17401,J17400,J16543,J16535,J16458,J16158,J15888,J15870,J13244,J11443,J11098,J10471,G41,G34,G27,G23,G13,EA2,CM952,CM933,CM862,CM861,CM860,CM675,CM674,CM6565,CM6540,CM6539,CM6523,CM3877,CM3795,CM3793,JM1600,JM153,JM14447,J17407,J13235,CM3663,CM3662,CM3661,CM3660,CM3652,CM3651,CM3644,CM3643,CM3642,CM3543,CM3542,CM2991,CM2988,CM2980,CM2822,CM2794,CM2748,CM21,CM16495,CM15246,CM12786,CM12785,CM11764,CM10563,CM10562,CM10561,CG1,CDT8,BSW14,CM16483,JM188,CM3713,JM205,CM6541,JM2205,J17402,JM91,M10967,M29961,MRG4,JM213
"X LM1 Nasal, anterior, midline",19.70291443,18.46316528,18.08743134,16.95916595,16.92669067,18.7417923,16.96043854,19.66994171,-4.758357239,-5.289606094,-2.804636383,-6.241732788,-5.613908768,-6.420510101,-6.408287048,-7.086273956,-6.499408722,-12.59566116,-6.146062851,-5.570901108,-4.653190613,-8.169075775,-6.569997406,-7.638038635,-12.54730835,18.78752899,5.619784927,3.823832703,7.270077515,5.520635986,4.962842941,-3.719008255,-7.138479614,5.896654892,5.834934235,17.25112915,20.76208801,-7.024253082,-15.18418884,-3.82118721,18.02801361,17.74610596,18.96964417,19.38971405,18.99662018,18.98750458,6.329080582,16.8175705,5.169718933,19.01423187,18.09787598,-9.62197876,16.68425293,17.77120667,21.78370056,-5.927018356,5.964714813,8.625901794,19.29736176,5.260972977,5.02112236,6.179381561,6.579370117,4.579071426,-3.779166794,20.07927246,-17.52850342,14.91499939,4.957697678,3.914788818,5.464258957,5.820623779,7.589308929,18.02148285,-5.619107819,-5.950940704,-3.803159714,19.36633301,18.76227722,7.321130371,19.41970367,-3.865174866,20.67380829,21.26462097,5.961242294,4.884194183,5.251729965,5.120095444,-3.312128448,6.272115326,-3.877384567,18.65547943,17.4434433,20.29390869,19.10202789,6.770370483,-2.605948067,18.64728851,5.754987335,6.31593895,19.67531128,4.806169128,6.327310944,-4.890052414,17.78948517,4.252604294,4.369117737,4.837440109,-2.683507919,5.917212296,-8.638469696,17.80348816,18.09297333,19.1982193,17.46463623,17.137883,16.31759949,12.67303009,-13.9062088,-15.80597534,-7.912156677,-6.19853096,-5.77382431,-5.804579544,-13.91877289,-6.709677124,-15.62993011,11.54070587,-12.54652557,-7.710980988,12.89678802,-3.18415451,4.383302307,20.08361511,8.028836823,-2.393421555,9.86126709,-14.57185822,-7.920440674,12.17973938,-16.12411346,-13.89947662,-6.281414032,-3.882388306,-5.720514297,-16.35022583,-7.39708786,-6.37095871,-7.219895172,-6.081777573,-5.219398499,9.687068939,12.23707733,-6.314770508,-7.302412415,14.20644226,10.75432205,-12.58999405,-14.51927185,-7.174832916,-6.509944153,-8.177013397,19.22274323,20.23421478,19.55730896,7.547142029,-13.88058014,-6.861943054,4.934876251,-15.84438477,18.66677856,18.89549561,6.868038177,-12.54141159,-4.47564621,19.42574768,4.690323639
"Y LM1 Nasal, anterior, midline",-7.520747375,-6.247065735,-3.388394165,-6.420012665,-6.03429451,-6.709980011,-5.230639648,-4.414730453,-14.93095398,-15.30917358,-15.36595764,-21.23540039,-14.67608795,-21.98326111,-20.91135101,-15.04888763,-2.846529007,-8.800791931,-16.14958344,-16.02840118,-17.80302887,-19.6498764,-20.70442352,-21.02997131,-7.978665161,-6.422055054,-1.43710289,-0.81234169,-1.535646343,-2.128257561,-2.12935009,-3.545133591,-17.42876587,-1.387343693,-1.112697601,-6.334770584,-6.217338562,-4.050492477,-7.867767334,-4.42495079,-6.143317795,-6.429042816,-6.307631302,-5.741674423,-5.748550034,-7.639698792,-1.448441982,-6.0207798,-2.458922005,-5.290086746,-6.272640228,-12.0877388,-4.698949432,-6.487083435,-8.55460434,-4.635232925,-1.391115952,-1.494759083,-7.050090027,-1.522986603,-1.875978661,-0.591543961,-0.904503155,-1.275652313,-19.2306488,-5.619043732,-10.19522629,-10.21965256,-1.430252457,-1.470896912,-1.367541409,-1.686616516,0.05616765,-5.429846191,-2.981084251,-3.096536064,-4.857688904,-5.91128006,-4.550624847,-1.564560223,-6.123853683,-3.466580582,-5.868793869,-6.498381042,-0.416364336,-1.519433212,-1.660647774,-1.846935081,-5.011006546,-1.68110714,-4.379959106,-7.0349617,-6.41889267,-5.645895386,-5.940875244,-1.307791042,-4.993241119,-7.058786011,-1.300692368,-1.474224567,-4.9318367,-1.729512405,-1.316221428,-2.482648849,-6.693441772,-0.753741169,-1.390616703,-0.755015278,-5.348738098,-1.417138863,-5.440620041,-6.287827301,-5.454043198,-4.809732819,-5.740396881,-6.035937119,-5.864587784,-6.23045578,-7.567990112,-6.713153839,-3.085515404,-1.918224907,-3.157917786,-3.12812748,-7.576483154,-2.85471096,-7.297416687,-7.851739502,-8.671211243,-2.2909132,-12.54746628,-5.660907364,-1.31470747,-6.070758438,-16.58137054,-13.32293243,-6.37873497,-7.839746857,-2.714376068,-6.345409393,-7.146112061,-7.025222778,-2.835640526,-3.297718811,-3.168509293,-10.31559525,-3.085638618,-2.736104965,-3.137356186,-4.522877884,-3.97101593,-6.93184967,-7.108032227,-2.270962143,-1.510591602,-15.31279755,-7.868498993,-9.573978424,-7.502623749,-2.587197495,-2.210967255,-1.954494667,-5.382444763,-6.427871704,-7.195840454,-6.679601288,-9.863905334,-4.141535568,-1.038540936,-7.778468323,-5.188136292,-5.962668228,-1.503159904,-19.39954681,-17.49533844,-6.614716339,-0.53456912
"Z LM1 Nasal, anterior, midline",-20.63976898,-20.10115662,-24.7868866,-20.34204254,-21.95236511,-21.13303833,-22.9047699,-23.58280792,0.181039262,0.350264263,1.037019062,7.151226044,-0.951392174,7.85602951,6.382374191,4.422337723,-24.61850891,-12.2324501,0.2178792,0.103965986,2.228546906,5.691871643,6.936364746,7.492553711,-11.56907806,-21.21335297,-30.22062378,-30.31502075,-28.91521301,-29.50726624,-29.1143158,-25.75493164,-4.357463074,-28.2128479,-29.19898376,-20.02158966,-21.31306152,-23.45650482,-12.66734924,-23.75439606,-20.36304932,-26.99014893,-20.06402435,-21.90628967,-21.89755707,-21.01000366,-28.78870239,-21.99278717,-27.32310486,-21.93312988,-22.12528381,-8.469670105,-19.24634857,-22.28412933,-21.00750885,-24.65396271,-29.96797791,-28.45483093,-19.8740387,-29.55523071,-29.34373169,-29.96882019,-29.71713562,-30.64022827,2.345177269,-20.89307098,-10.43118439,-10.86685638,-30.3356842,-28.31040344,-29.66936646,-28.34271851,-31.28110046,-22.1006897,-25.73563538,-26.21718445,-24.07681122,-20.50531921,-21.64388275,-29.426297,-20.10952759,-25.2349762,-21.44452057,-21.37870178,-31.04139709,-29.53295898,-28.01860962,-28.63229675,-23.36213379,-29.8333374,-25.06956482,-19.93394623,-21.98567963,-20.62250671,-20.92937927,-30.43937988,-23.37143555,-20.19423065,-29.21673584,-28.2244812,-23.16872559,-28.95298462,-29.70783386,-26.30990906,-20.19455872,-29.06276245,-30.06292725,-28.87088318,-22.31940155,-28.76671753,-24.07990112,-20.84511414,-22.0043045,-21.38001862,-21.55936737,-21.75552673,-22.43894348,-11.2978508,-10.85680008,-10.74957809,-21.86167603,-23.76251221,-23.56477509,-23.6195343,-11.97780228,-23.78261566,-12.60773087,-11.33517685,-9.778170013,-24.47312775,-8.121516418,-22.95523987,-29.59962158,-23.01559753,-23.9407959,-28.52793579,-12.17507095,-10.48939819,-22.34249878,-7.369729614,-12.06976471,-11.60803909,-22.45164032,-22.42409058,-24.12341309,-11.0130722,-23.74081421,-25.50809479,-24.33963928,-22.9866394,-24.47498016,-11.1771347,-10.43287811,-23.40621033,-23.24434814,-3.053371239,-13.18227386,-10.77527313,-10.81201248,-24.52278748,-24.20248108,-24.32722015,-22.08559875,-20.44943848,-20.42019653,-11.31338654,-9.265505219,-23.69479828,-28.90627136,-10.89576721,-22.94113922,-20.81082001,-28.86541138,4.20309639,2.550330734,-21.06275787,-30.57550049
"X LM2 Nasal-frontal suture, midline",9.678839874,9.812771606,8.94878006,8.770387268,7.768583679,9.793930054,8.480651093,10.74980011,-3.995333481,-4.412837982,-2.793411064,-4.975256729,-4.20212822,-5.372431946,-5.40474968,-5.754549789,0.251273775,-3.461616135,-4.88722496,-4.470963287,-4.216684723,-6.296025467,-5.604393768,-6.958769226,-3.142281914,10.04120483,6.757891846,4.632033157,8.109570313,6.580288696,5.633184814,-2.957374191,-7.105763245,6.853518677,6.399907303,8.718911743,10.75353546,-8.142829895,-6.032305908,-4.553591156,9.20245285,8.363471222,9.807293701,10.2539772,8.438412476,8.713955688,7.323517609,7.113759613,5.690347672,10.74392929,8.606693268,1.031874084,8.560396576,8.265711212,10.46108017,-5.432093811,6.528124237,8.567423248,9.312254333,6.827713013,5.423309326,6.986122131,6.857514191,5.554715347,-4.686372757,9.150732422,-6.394405746,4.765664291,5.942884827,5.894657516,6.411473083,6.752055359,7.425695038,10.30593796,-5.94780159,-7.380043793,-3.621657562,10.45499039,10.11332779,7.727966309,10.12078247,-3.610582733,11.60919876,11.72910843,6.724966431,6.211307526,6.416172791,6.447749329,-3.154289055,7.273472595,-3.098457718,9.496857452,8.372233582,10.57409363,9.529317474,7.248748779,-2.225338745,8.688490295,6.265074539,6.815189362,10.49566116,6.257094193,7.79511795,-7.435388184,8.899183655,5.336205673,5.853393936,6.003495026,-2.88617878,7.584485626,-8.925047302,9.001742554,8.700099182,10.14718246,8.560604858,8.000744629,7.437998199,2.824305153,-4.989881516,-8.394446564,-0.351159716,0.712407684,-0.286047125,0.264407325,-4.809553146,1.400390911,-5.789261627,3.483876038,-4.23406601,-3.197809601,7.034124756,-3.389343643,5.364056396,8.717172241,-2.066049194,-4.430517197,-0.280571556,-4.825566101,0.2430722,2.211403275,-6.625305939,-5.341578293,0.152900827,2.55974102,-1.117660618,-5.785910034,0.142198873,1.261170769,0.359071326,0.234851241,1.346782875,1.800760269,3.932988739,0.696741676,-1.154608822,6.734171295,1.685788155,-4.260708618,-6.585412598,-0.38589797,-0.242188907,-1.250058651,10.77857437,10.10976105,8.113717651,-0.601453352,-3.392036438,0.706629181,5.873854065,-6.51427536,9.82781601,9.506301117,7.094928741,-11.46434708,-2.960528755,9.016080475,6.087482834
"Y LM2 Nasal-frontal suture, midline",-9.706097412,-8.572407532,-6.18882103,-8.315786743,-8.560478973,-8.894329071,-7.51704483,-7.610640717,-11.25805893,-11.45680313,-12.19756012,-16.84775085,-11.43724518,-17.97184753,-17.0147644,-11.60342484,-8.459899139,-10.09032135,-12.28211823,-12.50065155,-13.45978241,-15.86190796,-16.86021881,-17.34302368,-9.940873718,-9.195909119,-8.250582886,-7.926477051,-8.470152283,-8.911460876,-9.332841492,-10.73887482,-14.42861633,-8.221400452,-8.152268219,-8.934481812,-8.981729889,-7.544278717,-8.766998291,-11.64855728,-9.059176636,-9.777256775,-8.430473328,-7.960372162,-8.872297668,-9.870067596,-8.102751923,-8.807584381,-8.696560669,-7.874686432,-8.848226929,-11.80027313,-8.560607147,-9.090026855,-11.25257111,-11.07075729,-8.986065674,-8.218626404,-9.330450439,-7.98702774,-8.506902313,-8.021114349,-8.322712708,-8.297633362,-16.74631958,-8.704406738,-10.12554779,-10.23210602,-8.259368896,-8.285366821,-8.595558929,-8.579450226,-7.451239777,-8.179407501,-10.07523575,-6.438648224,-11.09055023,-8.391662598,-6.2484478,-8.07432251,-9.038515472,-10.93997879,-8.929785156,-9.352877045,-7.777386475,-8.206071472,-8.49175415,-8.778324127,-11.42942963,-9.168630219,-11.32117844,-9.110301971,-8.864472198,-8.268099976,-8.097054291,-8.735838318,-11.13771362,-9.202976227,-7.885173035,-8.396914673,-8.449320984,-9.185767365,-7.643357086,-7.061877441,-9.208948517,-7.569764709,-9.163586426,-6.964531708,-11.97480011,-8.565617371,-8.837524414,-8.580644989,-8.218567657,-7.88391037,-8.161633301,-8.164982605,-7.439946747,-9.551842499,-9.45211792,-8.366811371,-8.753022003,-8.047462463,-8.349447632,-8.889930725,-9.292281342,-9.195568085,-8.828222656,-9.24054184,-10.21681671,-6.540570831,-11.38529816,-12.12548981,-8.134815216,-9.673060608,-16.97580719,-18.92998047,-9.165713501,-9.852503204,-9.244739532,-6.757191467,-9.708354187,-9.214865875,-8.374145508,-9.222660828,-9.208596802,-10.25109787,-9.281169891,-8.769480896,-9.73093338,-10.03383713,-9.860803223,-9.303118896,-9.45334549,-8.509689331,-7.08604126,-8.887324524,-10.48157959,-11.11628876,-9.211346436,-8.054220581,-7.802580261,-8.353694916,-7.854516602,-9.039148712,-9.369035339,-8.791849518,-9.539352417,-9.978335571,-8.434687042,-9.780924988,-8.096440887,-8.732978821,-8.517225647,-15.42001495,-13.31572571,-8.684786987,-7.96656189
"Z LM2 Nasal-frontal suture, midline",-21.21125946,-21.50423431,-25.95856323,-21.29332428,-22.19272614,-21.32490387,-22.97431183,-23.05113373,-7.446407318,-8.402922058,-6.440139008,-1.554090214,-8.444676971,-0.726212263,-1.712376404,-3.477249146,-20.71884003,-13.40940857,-7.5645401,-7.201673889,-6.573919678,-2.069154167,-0.836431313,-0.508666945,-13.55406036,-21.16180267,-23.10625916,-23.78608704,-22.33494415,-22.73539734,-21.84716797,-18.63634186,-13.29204254,-22.1285675,-22.63446655,-20.71540222,-21.73065948,-16.27331085,-10.82628021,-18.02419434,-20.53221436,-26.11549377,-21.45681458,-22.15253143,-22.12428131,-21.41346436,-22.5001236,-21.26791534,-21.22346191,-21.64540558,-21.99876862,-8.236899567,-17.93804474,-21.93102264,-23.62302856,-17.56243896,-22.437146,-21.89763184,-20.88519287,-22.97189178,-22.24094391,-23.06158447,-22.83879395,-23.62449188,-7.820547485,-22.05725708,-8.447410583,-9.471228027,-23.09598236,-22.18288574,-22.63879852,-21.83430786,-24.21511688,-21.98945007,-19.34368744,-18.68255005,-18.03552246,-21.65489349,-23.48731232,-23.25839844,-21.36995392,-18.07984467,-21.59957123,-21.62444153,-24.08588562,-23.00367432,-21.62606506,-21.95709229,-16.65615845,-22.00808105,-18.02551422,-20.81418457,-21.62785797,-22.43141479,-22.43942871,-23.05048218,-16.83779144,-20.57351685,-22.39616852,-21.66666412,-22.3344696,-21.73985596,-23.33428802,-16.64639893,-21.33673553,-22.66824646,-22.40214691,-23.20644836,-15.85510101,-21.7337326,-16.13154602,-21.37597351,-22.16260529,-21.93209534,-21.77546844,-22.24203796,-22.87625275,-13.06233368,-12.51941299,-12.34336395,-18.54564362,-19.67071381,-19.92449646,-19.61645813,-13.52308502,-19.02422638,-13.78552399,-12.55497208,-12.25282593,-16.37142181,-14.28283691,-15.84158478,-23.39756012,-22.35591583,-26.74441833,-21.32736511,-13.78240509,-12.32185745,-18.63049011,-8.468367004,-13.08893585,-12.70042648,-18.75284882,-18.07266235,-19.44499207,-13.44516144,-18.59048462,-20.98550568,-19.3941391,-18.9246048,-19.98912659,-12.26013489,-12.16553116,-19.00479431,-20.10602264,-8.40966568,-13.1492218,-12.30475082,-12.37911224,-20.3991745,-20.09286652,-19.975177,-22.33544312,-22.01616364,-21.59832764,-12.99392242,-8.140631866,-19.27840881,-22.32651672,-11.84597473,-22.27181702,-21.00244751,-22.69849243,-3.483642197,-7.007624817,-22.00735474,-23.77682343
"X LM3 frontal-parietal suture, midline",-0.044620612,0.7951015,0.122249687,-0.451971102,-1.632881165,0.736826229,-1.419002342,0.728755903,-3.14865551,-3.438557434,-2.875061798,-3.687621307,-2.666769218,-4.333138275,-4.227811432,-4.246819305,7.605571747,5.264111328,-3.530124664,-3.238609695,-3.900450134,-4.0786129,-4.447208023,-6.438517761,5.794393539,0.452754974,7.940708923,5.428649521,8.875395203,7.652441406,6.402119446,-2.605657959,-6.950683594,7.627703857,7.222502136,0.304869676,1.238526154,-8.733958435,2.824987793,-4.840567017,0.627144003,-0.031885824,1.428093719,1.498362255,-1.476995277,-1.424053764,8.29050827,-0.945562935,6.20654068,1.478743744,-0.716870737,10.57227554,-0.82970829,-2.233450699,0.832179356,-4.607263184,7.034925079,8.326998138,0.805821991,8.185264587,5.441176224,7.879321289,7.269668579,6.524850464,-5.195239639,0.477053928,3.425230789,-4.928272247,6.593940735,8.039072418,7.17990036,7.467315674,7.184753418,1.037177181,-5.940237808,-8.842210388,-3.470175934,1.657652855,-0.011015676,8.322451782,-0.017908195,-3.333382034,1.799097061,1.593373013,7.689994812,7.424488831,7.550836945,7.61966095,-3.185632324,8.459375763,-2.467438507,0.455785131,-0.65695343,0.91744833,0.933763409,7.870072174,-2.156693077,-1.151858711,6.757678223,7.173153687,1.150339985,7.251472473,9.311859131,-9.645760345,-1.871698189,6.367235565,7.201574707,7.503307343,-3.233863449,8.811523438,-9.05581131,0.389921689,0.020143311,-0.119718862,0.798817301,-1.07413559,-1.398083973,-5.643148422,3.549224854,0.78601017,6.37196579,7.508778381,6.153821564,6.675654602,3.629487228,7.403334808,3.418545532,-5.646874237,4.349560165,1.354664993,0.376674485,-3.507216263,6.623357391,-1.620443916,-12.25505676,-6.266537857,-9.442707825,4.184916687,6.509844208,-6.752029419,2.635660744,2.91724968,6.124703598,8.222098541,2.600873566,3.568963623,6.718437195,7.219042969,7.131197357,6.126610947,7.34058609,-7.690995026,-4.75293808,6.774977112,5.985396194,-0.147930562,-7.065860748,4.82513237,2.268437386,5.510119247,5.732963943,6.058965302,1.54618187,1.552332687,-1.227002239,-8.943083191,6.017668152,7.629727173,6.874061584,1.999697113,0.790368176,-0.179983008,7.288546753,-10.47216568,-1.386663151,1.155952835,7.657598877
"Y LM3 frontal-parietal suture, midline",-11.35758438,-10.29690781,-8.759501648,-10.56927338,-10.72064438,-11.05383987,-10.07345505,-10.81462097,-7.498126221,-7.167601013,-8.444827271,-12.25145264,-7.193793488,-12.62815323,-12.01698761,-7.438614655,-13.70119476,-11.10971756,-8.196446991,-8.635874176,-8.343732452,-11.80956345,-12.76461945,-13.21521149,-11.18630447,-12.06642685,-14.76246948,-14.87775269,-15.12615967,-16.49260254,-15.81155701,-18.02814789,-10.67745514,-15.57119293,-14.81859131,-11.14955673,-11.13540497,-13.00687714,-9.61830368,-18.08644257,-11.5505394,-12.63781433,-10.13418121,-10.13225327,-11.01885986,-11.64837875,-15.3747757,-11.39913788,-16.01509857,-10.8113266,-11.07755814,-11.95327072,-12.58573456,-11.31235809,-12.60298767,-17.2231308,-15.55618439,-14.84632721,-10.98184814,-14.63027191,-14.72197571,-14.46368866,-15.26772156,-15.02890472,-13.86748047,-10.28406067,-10.04131927,-10.38173981,-14.40795746,-14.58441772,-14.92390137,-15.21734772,-14.32074127,-10.96635437,-16.95899811,-11.61449814,-18.20674438,-10.18926697,-7.723876953,-15.63518982,-11.1694931,-17.58681641,-11.34194107,-11.5138916,-15.38879089,-15.1590744,-14.98102417,-15.09911652,-17.97639313,-16.25072327,-17.90915527,-10.68529358,-10.96534348,-9.638520813,-9.711965179,-15.65686188,-18.01787109,-10.77106247,-14.102742,-15.01351013,-11.56262817,-14.97676239,-14.80814972,-11.37920532,-11.7407959,-14.07324524,-15.44416962,-14.0078186,-17.80849304,-14.17227783,-12.78543854,-10.78843384,-10.39595261,-10.57322922,-10.35599442,-10.28092957,-9.266545868,-11.53842316,-10.88723221,-10.28437576,-13.15618591,-13.87936401,-13.72605286,-14.38738251,-11.2499649,-14.02794189,-10.34921112,-10.93028488,-11.28652496,-10.47716217,-9.796443176,-18.9329834,-15.21016388,-12.17772293,-16.69967957,-24.62532349,-11.2367981,-11.16516342,-13.83062897,-7.486669922,-11.40413513,-10.80303955,-13.19359436,-14.506427,-14.27861328,-9.628086853,-14.06417847,-13.04268341,-14.85041199,-15.11582794,-15.02744751,-11.96960907,-11.75379486,-13.53204193,-12.65907135,-3.861366272,-12.52608719,-11.7586647,-10.45975113,-12.80654297,-12.71776657,-14.42260895,-10.25303955,-10.85674896,-10.73986511,-10.2222847,-9.861631012,-14.84747925,-15.38366089,-11.59135284,-11.17052078,-11.15909653,-15.38299713,-10.87742538,-9.528713989,-10.4439827,-14.87264099
"Z LM3 frontal-parietal suture, midline",-21.44992065,-22.59247131,-27.21210632,-22.10862885,-21.9930069,-21.67827606,-22.8111557,-22.41920013,-15.5286377,-16.88884277,-14.5563324,-10.48237534,-16.73115234,-10.12134933,-10.16287918,-11.56929016,-16.54537964,-14.42879028,-15.16502533,-14.57282104,-15.65926056,-9.896012878,-8.553887177,-8.767860413,-15.12125397,-21.0105423,-15.52471008,-16.32403259,-14.95549164,-13.46125183,-14.06531525,-10.4799614,-22.48664551,-14.92752533,-15.26123199,-21.20562744,-22.10307159,-6.311246872,-9.962084961,-11.1364563,-20.54563293,-25.24764557,-22.65328674,-22.39205627,-21.79177399,-21.74459381,-14.84897766,-20.90199738,-13.25743103,-21.51855164,-21.81099396,-7.867140198,-16.9858078,-21.22197418,-25.5804306,-10.31543655,-14.92624969,-15.15290222,-21.63358612,-16.13998108,-15.02363281,-16.36969452,-15.59272919,-15.61490326,-17.13102722,-22.76534576,-7.251087952,-8.626364136,-16.40543213,-14.94537506,-15.56745605,-14.83739166,-16.82457886,-21.53444977,-12.38203125,-8.218904114,-9.438299561,-22.46551819,-24.99215698,-15.53310852,-22.16721954,-10.74504776,-21.45073242,-21.78564148,-15.40944519,-15.81839294,-14.50481415,-15.08218994,-9.548930359,-13.42430267,-10.26506577,-21.30852203,-21.1812912,-23.43912659,-23.57948761,-14.85893097,-8.9359375,-20.82978058,-15.54747162,-14.85861664,-21.34715118,-15.40468445,-15.59443054,-8.116087341,-22.42565002,-16.5667572,-14.78952484,-16.23111877,-9.702095795,-15.34573517,-6.772124481,-21.8998764,-22.13191681,-22.16873322,-21.93281097,-22.53985138,-23.15966187,-13.9121994,-14.12481384,-14.19167175,-15.13671722,-15.21657867,-15.47344208,-15.03453827,-15.07535706,-15.18375092,-14.83214874,-13.79165039,-14.63374634,-9.469523621,-21.29824524,-7.741384888,-15.31184845,-21.212117,-29.03673706,-13.95375519,-14.73884277,-13.52769623,-15.37470856,-10.03805542,-13.45301819,-13.13992157,-15.00635986,-14.2049942,-15.20137482,-15.22378387,-14.17829132,-17.34284821,-14.50787506,-14.48851166,-15.13443756,-13.09359436,-13.66498566,-15.43506165,-15.62317505,-14.23944092,-12.88348389,-13.51309967,-13.95775757,-16.17378387,-15.89233704,-15.02018738,-22.37630157,-22.93968964,-22.36858826,-14.17872772,-7.646208954,-14.90390472,-15.91298828,-12.5506691,-21.60868378,-20.87688904,-15.20034943,-11.25126648,-14.4372345,-22.82207184,-16.37066956
"X LM4 External occipital protuberance, nuchal crest, midline",-5.909299088,-4.76568222,-5.882816696,-6.366627502,-7.300572968,-5.671878815,-6.575696564,-5.165871811,-2.397417259,-2.780212975,-2.67045536,-2.900193024,-1.424185562,-3.700575256,-3.553785706,-3.223134613,12.73749008,10.80650864,-3.03039608,-2.439603615,-3.567856216,-3.042108345,-3.739294434,-6.063436508,11.65629272,-5.314979935,8.72633667,5.935091782,9.100875092,8.082433319,6.696669006,-2.33604393,-6.591881561,8.086265564,7.716269684,-6.183886719,-5.3405159,-7.935150909,8.309144592,-5.309739304,-5.456829453,-5.771279144,-4.118027115,-3.98475647,-7.985038757,-7.556890869,9.010397339,-6.409687805,6.604114532,-4.828435135,-7.376317596,16.1210144,-6.675856781,-8.978465271,-5.365852356,-4.102447128,7.226501465,8.267328644,-5.734622574,9.200662231,5.665139008,8.514562225,7.624320221,7.162026215,-5.603766632,-5.155532837,10.72217331,-11.38047485,7.305522919,9.339807129,7.627915192,7.906928253,6.899707794,-5.014821625,-6.006602478,-8.369629669,-3.3368927,-5.056118393,-4.715259552,8.518908691,-7.150189972,-3.150753593,-4.702882004,-4.068514252,7.903812408,8.432372284,8.251483154,8.435048676,-3.303901672,8.984459686,-2.307777405,-6.058482361,-6.132446671,-5.583077621,-6.764545441,8.258424377,-2.43874588,-7.329621887,6.934685516,7.544007874,-5.249272919,7.994837189,9.998456573,-9.74620285,-6.646518707,7.020465088,8.344689178,8.288231659,-3.680621338,9.622823334,-7.557108307,-5.658802414,-6.290213776,-5.899640274,-5.773417282,-7.231931305,-7.767922211,-11.49991837,9.584968567,6.012665939,10.72576523,11.12142105,9.857848358,11.01382828,9.981052399,11.82619171,8.734576416,-11.52563858,9.588233948,5.324700546,-3.551585388,-3.860628891,7.442139435,-8.291806793,-18.17647552,-6.319652176,-15.78035126,9.870053101,11.04609604,-11.67483826,8.352025604,8.956970215,10.10006561,11.78663864,4.447359848,9.296386719,11.76016235,12.05441132,11.03746109,10.00632477,11.32913437,-13.32252197,-11.18505478,10.9720314,10.67132416,-3.78109169,-13.19797974,10.04062653,8.137611389,10.23087387,10.05993271,9.656258392,-4.860496521,-5.442145538,-7.725675201,-14.80351563,12.08976364,13.01866302,7.463648987,8.357498932,-5.070099258,-6.669809723,7.363023376,-9.92818222,-0.461809683,-6.093117905,8.61971283
