"","vd00","vd00 (%)","d98","d98 (%)","b13","b13 (%)","t16","t16 (%)","gmm","gmm (%)"
"CM12785","subtropicus","99.62","subtropicus","99.54","subtropicus","98.18","subtropicus","99.83","subtropicus","99.88"
"CM12786","north","88.55","north","81.31","north","97.96","north","84.07","north","99.19"
"JM21536","south","54.59","north","64.71","north","72.44","north","69.75","north","53.65"
"J3810","north","97.59","north","99.1","north","98.55","north","99.58","north","97.34"
"CM3795","north","68.47","north","71.69","south","80.11","south","82.48","north","57.34"
"J5030","south","60.04","north","55.33","south","81.49","south","97.02","south","99.41"
"JM4432","north","73.37","north","62.11","north","84.04","north","98.76","north","99.76"
"JM3944","north","94.63","north","90.15","north","96.33","north","92.37","north","99.94"
"M22782","north","99.72","north","99.95","north","99.66","north","99.29","north","99.92"
"M22784","north","96.69","north","97.39","north","97.51","north","87.53","north","98.43"
"M22785","north","96.83","north","99.45","north","86.12","north","64.88","north","98.77"
"J15888","north","91.94","north","99.7","north","90.39","north","97.27","north","99.76"
"JM14417","north","75.39","north","61.17","north","71.85","subtropicus","63.48","north","98.75"
"RT1","north","99.84","north","99.87","north","99.75","north","98.97","north","100"
"JM1600","north","51.81","subtropicus","86.07","north","57.67","subtropicus","97.3","north","91.39"
"JM1596","north","84.93","north","62.13","north","83.58","north","92.81","north","54.53"
"J17400","subtropicus","100","subtropicus","100","subtropicus","100","subtropicus","100","subtropicus","100"
"J17401","subtropicus","64.39","subtropicus","90.26","subtropicus","89.35","subtropicus","91.71","subtropicus","99.78"
"J17402","subtropicus","100","subtropicus","100","subtropicus","99.98","subtropicus","99.87","subtropicus","100"
"J17403","subtropicus","99.97","subtropicus","99.98","subtropicus","99.93","subtropicus","99.88","subtropicus","99.98"
"J17406","subtropicus","99.13","subtropicus","98.83","subtropicus","99.1","subtropicus","98.29","subtropicus","99.85"
"JM1420","north","99.46","north","99.95","north","97.71","north","95.81","north","100"
"JM14415","north","86.84","subtropicus","95.21","north","94.74","subtropicus","71.74","north","90.09"
"J20265","north","94.41","north","62.85","north","96.39","north","79.24","north","97.26"
"MWA1","north","96.77","north","98.43","north","87.77","north","95.61","south","67.45"
"MWA2","north","96.11","north","99.29","north","89.47","north","96.76","north","99.97"
"CG1","north","92.76","north","86.94","north","93.78","north","96.94","north","99.19"
"JM20761","south","67.36","north","68.85","north","70.7","north","56.18","north","99.84"
"JM21357","north","94.6","north","97.23","north","96.01","north","96.35","north","99.86"
"JM14452","north","57.81","north","74.31","north","58.26","subtropicus","63.94","north","87.72"
"CM674","subtropicus","97.65","subtropicus","97.62","subtropicus","99","subtropicus","60.59","subtropicus","99.98"
"CM675","north","89.76","north","97","north","99.12","north","70.11","north","98.98"
