"","vd00","vd00 (%)","d98","d98 (%)","b13","b13 (%)","t16","t16 (%)","gmm","gmm (%)"
"CM12785","subtropicus","99.87","subtropicus","99.9","subtropicus","99.66","subtropicus","99.81","south","99.64"
"CM12786","north","84.95","north","81.17","north","88.92","north","90.51","north","100"
"JM21536","north","85.38","north","92.07","north","93.57","south","68.17","south","95.16"
"J3810","south","62.85","north","52.21","north","60.23","north","97.48","north","70.15"
"CM3795","south","87.99","south","94.54","south","89.58","north","67.2","north","100"
"J5030","south","93.87","south","93.94","south","91.17","south","86.6","south","100"
"JM4432","north","82.92","north","92.35","north","92.28","north","97.41","north","100"
"JM3944","north","92","north","98.69","north","93.86","south","90.03","north","100"
"M22782","north","88.39","north","96.85","north","93.28","north","98.8","north","100"
"M22784","north","93.36","north","90.94","north","95.2","north","99.72","north","99.99"
"M22785","north","58.88","subtropicus","51.36","north","57.38","north","88.51","north","100"
"J15888","north","51.45","south","51.48","north","59.4","north","91.51","north","100"
"JM14417","north","63.98","north","81.44","north","63.89","subtropicus","61.98","north","100"
"RT1","north","97.79","north","99.42","north","98.32","north","98.36","north","100"
"JM1600","north","80.24","north","81.09","north","83.52","subtropicus","69.26","south","96.95"
"JM1596","north","81.93","north","87.6","north","93.59","north","74.2","north","99.28"
"J17400","subtropicus","100","subtropicus","100","subtropicus","100","subtropicus","100","subtropicus","100"
"J17401","subtropicus","82.82","subtropicus","83.59","subtropicus","97.78","subtropicus","93.8","subtropicus","100"
"J17402","subtropicus","100","subtropicus","100","subtropicus","100","subtropicus","99.97","subtropicus","99.49"
"J17403","subtropicus","99.97","subtropicus","99.99","subtropicus","99.99","subtropicus","99.96","subtropicus","100"
"J17406","subtropicus","99.38","subtropicus","99.72","subtropicus","99.9","subtropicus","86.44","subtropicus","100"
"JM1420","north","83.45","north","93.65","north","78.72","north","94.95","north","100"
"JM14415","north","79.26","north","86.65","north","88.53","north","64.21","subtropicus","99.84"
"J20265","north","95.54","north","96.88","north","97.77","north","72.12","north","93.19"
"MWA1","north","77.94","north","86.11","north","73.15","north","68.85","north","99.69"
"MWA2","north","81.1","north","83.42","north","78.38","north","98.39","north","100"
"CG1","north","88.79","north","76.56","north","88.12","north","75.14","north","100"
"JM20761","north","69.88","north","72.83","north","85.39","north","66.84","north","100"
"JM21357","north","83.37","north","85.79","north","88.05","north","96.27","north","100"
"JM14452","subtropicus","62.93","north","58.51","north","70.93","subtropicus","95.9","north","99.73"
"CM674","subtropicus","93.56","subtropicus","97.38","subtropicus","99.64","subtropicus","87.61","subtropicus","99.84"
"CM675","north","96.48","north","97.83","north","97.61","north","93.34","subtropicus","100"
